,account,externalSymbol,datetime,signed_quantity,maker,trade,maker_ratio
87,1265MMDIKQ6M2QH,TYGH21,2021-03-15 14:30:00,-7,108,233,0.463519313304721
88,1265MMDIKQ6M2QH,TYGH21,2021-03-15 15:00:00,-9,65,131,0.4961832061068702
89,1265MMDIKQ6M2QH,TYGH21,2021-03-15 15:30:00,6,59,116,0.5086206896551724
90,1265MMDIKQ6M2QH,TYGH21,2021-03-15 16:00:00,3,10,17,0.5882352941176471
91,12660HNF4CILP1,FYGH21,2021-03-15 07:30:00,4,1,1,1.0
92,12660HNF4CILP1,FYGH21,2021-03-15 08:00:00,5,1,1,1.0
93,12660HNF4CILP1,FYGH21,2021-03-15 08:30:00,23,10,20,0.5
94,12660HNF4CILP1,FYGH21,2021-03-15 09:00:00,0,0,0,
95,12660HNF4CILP1,FYGH21,2021-03-15 09:30:00,-3,6,14,0.42857142857142855
96,12660HNF4CILP1,FYGH21,2021-03-15 10:00:00,12,3,4,0.75
97,12660HNF4CILP1,FYGH21,2021-03-15 10:30:00,8,10,21,0.47619047619047616
98,12660HNF4CILP1,FYGH21,2021-03-15 11:00:00,1,3,7,0.42857142857142855
99,12660HNF4CILP1,FYGH21,2021-03-15 11:30:00,28,1,7,0.14285714285714285
